idx,return,steps,failure,wall_dt
999,1.0,14,0,1.2337592790000258
1000,1.0,14,0,1.2348789620000105
1001,1.0,14,0,1.2360587640000062
1002,1.0,14,0,1.2371922900000243
1003,1.0,16,0,1.238404752000008
1004,1.0,14,0,1.2395113219999985
1005,0.0,11,1,1.2406716500000243
1006,1.0,14,0,1.2418676290000121
1007,1.0,14,0,1.243005457999999
1008,1.0,14,0,1.2441909460000034
1009,1.0,15,0,1.2454530490000195
1010,1.0,14,0,1.2465844710000056
1011,1.0,14,0,1.2478171959999997
1012,1.0,14,0,1.2491341910000244
1013,1.0,14,0,1.2502373020000164
1014,1.0,14,0,1.2513340800000208
1015,0.0,12,1,1.2524728160000222
1016,1.0,14,0,1.253597818000003
1017,1.0,16,0,1.2548449250000147
1018,1.0,14,0,1.255944943000003
1019,1.0,14,0,1.2570763190000207
1020,1.0,18,1,1.258353762000013
1021,1.0,14,0,1.259560577000002
1022,1.0,16,0,1.260812541000007
1023,1.0,14,0,1.2619253340000114
1024,1.0,14,0,1.263021454000011
1025,0.0,14,1,1.2642766530000245
1026,1.0,16,0,1.2654830250000089
1027,1.0,14,0,1.2665839560000052
1028,1.0,16,0,1.2678132750000088
1029,1.0,14,0,1.2689392910000095
1030,1.0,14,0,1.2701271270000234
1031,1.0,14,0,1.2712376100000142
1032,1.0,14,0,1.2723461730000167
1033,1.0,14,0,1.2734478340000237
1034,1.0,15,0,1.2746506350000004
1035,1.0,16,0,1.275890607000008
1036,1.0,16,0,1.2776594400000079
1037,1.0,14,0,1.2795472310000093
1038,1.0,14,0,1.281481302000003
1039,1.0,14,0,1.2834020660000078
1040,1.0,14,0,1.2853346540000246
1041,1.0,14,0,1.287277228000022
1042,1.0,16,0,1.2894158440000183
1043,1.0,14,0,1.2913366600000131
1044,1.0,14,0,1.2956157200000007
1045,1.0,16,0,1.2977129480000258
1046,1.0,16,0,1.2998775439999974
1047,1.0,16,0,1.3021591500000227
1048,1.0,17,1,1.3044428890000006
1049,1.0,14,0,1.3064724660000024
1050,1.0,14,0,1.3084775590000106
1051,1.0,14,0,1.3106121819999998
1052,1.0,14,0,1.312546814000001
1053,0.0,7,1,1.3142784230000188
1054,1.0,17,1,1.3165212330000031
1055,1.0,14,0,1.321303352000001
1056,1.0,14,0,1.323470561000022
1057,1.0,14,0,1.3255864520000102
1058,1.0,14,0,1.327675539000012
1059,1.0,14,0,1.3298982550000176
1060,1.0,14,0,1.331985110000005
1061,1.0,16,0,1.3341692600000101
1062,1.0,14,0,1.3361653000000047
1063,1.0,15,0,1.3383287960000132
1064,1.0,14,0,1.3403060720000042
1065,0.0,7,1,1.3422191650000173
1066,1.0,14,0,1.3439545049999992
1067,1.0,14,0,1.3457932540000002
1068,1.0,14,0,1.3477227440000092
1069,1.0,16,0,1.350378362000015
1070,1.0,14,0,1.353068900000011
1071,1.0,14,0,1.3553505380000104
1072,1.0,16,0,1.3583303750000084
1073,1.0,14,0,1.360552556000016
1074,1.0,16,0,1.362716416000012
1075,1.0,15,0,1.36497347400001
1076,1.0,16,0,1.3671072530000004
1077,1.0,14,0,1.3690599380000208
1078,1.0,16,0,1.3713719340000239
1079,1.0,14,0,1.3734384470000123
1080,1.0,14,0,1.3753925670000058
1081,1.0,14,0,1.3776832300000024
1082,1.0,14,0,1.3805986920000066
1083,1.0,14,0,1.3825251630000253
1084,0.0,9,1,1.3845409210000241
1085,1.0,14,0,1.3864444690000255
1086,1.0,14,0,1.3883467710000161
1087,1.0,14,0,1.390429451000017
1088,1.0,14,0,1.39238514500002
1089,1.0,15,0,1.3944924130000231
1090,1.0,14,0,1.396622739999998
1091,1.0,14,0,1.3992237760000137
1092,1.0,17,1,1.4019057750000172
1093,1.0,14,0,1.4039019870000118
1094,1.0,14,0,1.4059298630000114
1095,1.0,14,0,1.4077751940000098
1096,1.0,14,0,1.4098054170000012
1097,1.0,14,0,1.4116879370000106
1098,1.0,16,0,1.413807358000014
1099,0.0,14,1,1.4158432180000204
1100,1.0,14,0,1.419197703000009
1101,1.0,14,0,1.4212413710000078
1102,1.0,14,0,1.4231994560000203
1103,1.0,14,0,1.425108979000015
1104,1.0,16,0,1.4272623090000138
1105,1.0,16,0,1.4293884650000166
1106,1.0,14,0,1.4313496680000242
1107,1.0,14,0,1.4333399340000028
1108,1.0,16,0,1.4354243430000224
1109,0.0,10,1,1.437395753000004
1110,1.0,14,0,1.4393201840000245
1111,1.0,14,0,1.4412528200000168
1112,0.0,12,1,1.4432241300000044
